recording_id,insight
sw061b001_124,"Two whales, Whale 1 and Whale 2, go at it across 54 total codas. With 30 codas (56% of the total), Whale 1 is clearly driving this conversation. The whole exchange spans 2 min 36.5 sec."
sw061b001_513,"Two whales, Whale 1 and Whale 2, go at it across 27 total codas. In 1 min 26.9 sec, these whales pack in a lot. The coda breakdown is: Whale 1: 15, Whale 2: 12."
sw061b001_629,"It is a two-whale conversation between Whale 1 and Whale 2 (6 codas total). The coda breakdown is: Whale 1: 4, Whale 2: 2. The 80% turn-switching rate here is remarkable. This is real dialogue."
sw061b001_3872,"Whale 1 and Whale 2 are the two participants here, trading a combined 45 codas. Whale 1 leads the exchange with 24 codas out of 45 recorded. The interaction runs for 1 min 55.0 sec total."
sw061b001_4333,"It is a two-whale conversation between Whale 1 and Whale 2 (18 codas total). The average coda has 4.5 clicks, ranging from 3 up to 6. The coda breakdown is: Whale 1: 12, Whale 2: 6."
sw061b001_4421,"Only one whale (Whale 2) shows up here, producing all 3 codas solo. Whale 2 spaces clicks about 0.039 seconds apart on average. The click patterns here feel deliberate and precise."
sw061b001_4461,"Only one whale (Whale 2) shows up here, producing all 1 coda solo. The codas here are clustered so tightly in time they are practically overlapping. The pattern here looks like a real back-and-forth dialogue."
sw061b001_6945,"Only one whale (Whale 2) shows up here, producing all 1 coda solo. Even a single coda tells you something about the whale's rhythm."
sw061b001_7071,"This one has 7 whales involved (Whale 1, Whale 2, Whale 3, Whale 5, Whale 6, Whale 7, and Whale 9), collectively producing 35 codas. Everything unfolds over 1 min 33.0 sec. Coda counts per whale: Whale 1: 12, Whale 2: 14, Whale 3: 5, Whale 5: 1, Whale 6: 1, Whale 7: 1, Whale 9: 1."
sw061b001_7223,"Whale 1 and Whale 2 are the two participants here, trading a combined 31 codas. The 67% switching rate shows these whales are taking turns, even if not on every single coda. The whole exchange spans 1 min 42.1 sec."
sw061b002_7968,"Two whales, Whale 2 and Whale 3, go at it across 7 total codas. With only 17% turn switching, this is more of a monologue-style exchange than a rapid dialogue. Everything unfolds over 34.9 seconds."
sw061b002_8135,"Only one whale (Whale 2) shows up here, producing all 2 codas solo. Whale 2 fires clicks at an average ICI of 0.289 seconds. You have to respect the precision of these animals."
sw061b002_11093,"Two whales, Whale 1 and Whale 2, go at it across 31 total codas. With 17 codas (55% of the total), Whale 1 is clearly driving this conversation. Turns change about 60% of the time across the 31 codas in this recording."
sw061b002_11205,This is a one-whale show: Whale 1 alone logs 4 codas. The interaction runs for 13.1 seconds total. That is so cool!
